Rank,Player,Team,Position,"Pool Geek Value","Games Played",W,SV%,GAA,G,A,+/-,PIM,SOG,PPP,HITS,BKS,FOW
631,"Lennart Petrell",EDM,C,-34,10,,,,1,1,0,2,6,0,18,4,2
632,"Tim Kennedy",SJS,LW,-35,5,,,,0,0,-2,0,12,0,5,1,1
633,"Valtteri Filppula",DET,C,-35,8,,,,2,1,-4,2,13,1,4,4,19
634,"Brian Lee",TBL,D,-35,5,,,,0,0,-2,0,4,0,16,4,0
635,"Arron Asham",NYR,RW,-35,3,,,,1,0,1,0,2,0,6,1,1
636,"David Ullstrom",NYI,LW,-35,5,,,,0,0,1,0,4,0,8,0,1
637,"Ryan Wilson",COL,D,-35,4,,,,0,0,-2,2,8,0,8,4,0
638,"Brad Staubitz",ANA,RW,-35,4,,,,0,1,0,2,0,0,6,2,0
639,"Daniel Carcillo",CHI,LW,-35,7,,,,1,0,-3,2,3,0,7,1,0
640,"Jaden Schwartz",STL,C,-35,13,,,,1,1,-4,2,17,0,12,5,6
641,"Chad Larose",CAR,LW,-36,2,,,,0,0,1,0,5,0,6,0,1
642,"Scott Hannan",NSH,D,-36,8,,,,0,0,-2,2,3,0,5,9,0
643,"Mark Stone",OTT,RW,-37,4,,,,0,0,-1,2,3,0,10,0,1
644,"Tomas Kaberle",MTL,D,-37,3,,,,0,2,1,0,2,0,0,5,0
645,"Jamal Mayers",CHI,RW,-37,4,,,,0,0,-1,2,2,0,7,2,5
646,"Paul Gaustad",NSH,C,-37,5,,,,0,1,1,4,6,0,8,2,49
647,"Anders Lindback",TBL,G,-38,7,3,0.8965,3.075,,,,,,,,,
648,"Brandon Dubinsky",CBJ,C,-38,4,,,,0,1,-1,0,9,1,10,2,44
649,"Chris Mueller",NSH,C,-38,6,,,,2,1,1,0,7,0,4,3,36
650,"Cory Sarich",CGY,D,-38,6,,,,0,1,-3,2,2,0,10,3,0
651,"Marc Staal",NYR,D,-39,2,,,,0,0,0,2,4,0,5,3,0
652,"James Wright",WPG,C,-39,11,,,,1,0,-6,7,13,0,13,4,4
653,"Theo Peckham",EDM,D,-40,2,,,,0,0,-1,4,1,0,10,0,0
654,"Chris Terry",CAR,LW,-40,3,,,,1,0,0,0,1,0,1,1,1
655,"Anthony Peluso",WPG,RW,-40,1,,,,0,0,0,5,0,0,2,0,0
656,"Peter Regin",OTT,C,-40,10,,,,0,1,0,2,9,0,5,5,40
657,"Erik Gustafsson",PHI,D,-40,5,,,,0,0,-8,0,8,0,6,13,0
658,"Joe Finley",NYI,D,-40,4,,,,0,0,1,2,0,0,4,4,0
659,"Stephen Weiss",FLA,C,-41,2,,,,0,0,-2,19,0,0,1,1,17
660,"John Moore",CBJ,D,-41,4,,,,0,0,-1,0,5,0,3,6,0
661,"Jeff Halpern",MTL,C,-41,13,,,,0,0,-2,2,7,0,15,5,35
662,"Mike Santorelli",FLA,C,-42,14,,,,2,1,-2,0,15,0,4,2,12
663,"Jeremy Welsh",CAR,LW,-42,1,,,,0,1,1,0,0,0,0,0,1
664,"Nick Bonino",ANA,C,-42,5,,,,0,1,1,0,4,0,3,12,21
665,"Mike Knuble",PHI,RW,-43,2,,,,1,0,1,0,1,0,0,0,0
666,"Mike Blunden",MTL,RW,-43,3,,,,0,0,0,2,2,0,1,1,0
667,"Mike Lundin",OTT,D,-43,4,,,,0,1,0,0,1,0,0,5,0
668,"Andrew Gordon",VAN,RW,-43,5,,,,0,0,0,0,2,0,4,1,0
669,"Dustin Jeffrey",PIT,C,-43,13,,,,0,2,-2,0,12,0,3,2,57
670,"Gustav Nyquist",DET,C,-44,7,,,,1,1,2,0,11,1,0,1,0
671,"Mark Olver",COL,C,-44,6,,,,1,1,1,0,8,0,9,1,11
672,"Paul Postma",WPG,D,-44,6,,,,0,0,-1,2,2,0,3,3,0
673,"Ben Eager",EDM,LW,-45,3,,,,0,0,-2,2,2,0,2,0,0
674,"Yann Danis",EDM,G,-45,2,1,0.9405,1.905,,,,,,,,,
675,"Dan Ellis",CAR,G,-45,6,1,0.9215,2.52,,,,,,,,,
676,"Jonas Gustavsson",DET,G,-45,3,1,0.907,2.24,,,,,,,,,
677,"Nikolai Khabibulin",EDM,G,-45,3,1,0.9325,2.21,,,,,,,,,
678,"Jason LaBarbera",PHX,G,-45,6,1,0.913,2.66,,,,,,,,,
679,"Martin Biron",NYR,G,-45,1,1,0.917,2.34,,,,,,,,,
680,"Ben Scrivens",TOR,G,-45,5,1,0.9205,2.5,,,,,,,,,
681,"Philip Larsen",DAL,D,-45,4,,,,1,0,-1,0,4,0,3,0,0
682,"Hal Gill",NSH,D,-45,3,,,,0,0,2,0,1,0,2,2,0
683,"Torey Krug",BOS,D,-45,1,,,,0,1,-1,0,0,1,0,1,0
684,"Alexander Killorn",TBL,C,-45,3,,,,2,1,0,0,6,1,1,2,0
685,"Derek Dorsett",CBJ,RW,-46,3,,,,0,0,-3,0,6,0,5,0,0
686,"Kurtis Foster",PHI,D,-46,4,,,,0,0,-2,2,3,0,1,4,0
687,"Nick Johnson",PHX,RW,-46,3,,,,0,0,0,0,2,0,1,1,0
688,"Adam Pardy",BUF,D,-46,2,,,,0,0,1,2,0,0,3,0,0
689,"Tom Poti",WSH,D,-46,6,,,,0,0,1,0,1,0,0,4,0
690,"Brendan Mikkelson",TBL,D,-46,1,,,,0,0,0,4,0,0,0,1,0
691,"Jaroslav Halak",STL,G,-46,6,1,0.899,2.045,,,,,,,,,
692,"Henrik Tallinder",NJD,D,-46,3,,,,0,0,1,0,3,0,2,1,0
693,"Mark Pysyk",BUF,D,-47,5,,,,0,0,-1,0,5,0,1,3,0
694,"Cam Janssen",NJD,RW,-47,1,,,,0,0,0,2,0,0,0,0,0
695,"Cody Goloubef",CBJ,D,-47,3,,,,0,0,-2,0,8,0,4,0,0
696,"Benoit Pouliot",TBL,LW,-47,2,,,,0,0,-1,0,1,0,2,0,0
697,"Jim O'Brien",OTT,C,-47,9,,,,0,0,-1,0,10,0,9,4,31
698,"Sean Collins",CBJ,D,-47,1,,,,0,0,0,2,0,0,1,2,0
699,"Chris Summers",PHX,D,-48,1,,,,0,0,1,0,1,0,4,0,0
700,"Christian Thomas",NYR,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
701,"Johan Larsson",MIN,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
702,"Scott Laughton",PHI,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
703,"Roman Horak",CGY,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
704,"Eric Wellwood",PHI,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
705,"Brandon Mashinter",NYR,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
706,"Jan Mursak",DET,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
707,"Mattias Tedenby",NJD,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
708,"Darcy Hordichuk",EDM,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
709,"David Van Der Gulik",COL,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
710,"Jody Shelley",PHI,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
711,"Andreas Nodl",CAR,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
712,"Matt Ellis",BUF,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
713,"Rene Bourque",MTL,LW,-48,0,,,,0,0,0,0,0,0,0,0,0
714,"Sven Baertschi",CGY,LW,-48,2,,,,0,0,-1,0,2,0,0,0,0
715,"Matt Bartkowski",BOS,D,-48,2,,,,0,0,-2,2,2,0,4,1,0
716,"Tye McGinn",PHI,LW,-48,1,,,,0,0,-2,0,2,0,2,0,0
717,"Michal Handzus",SJS,C,-48,9,,,,0,0,-2,6,7,0,6,2,26
718,"Radek Dvorak",ANA,RW,-48,1,,,,0,0,0,0,1,0,1,0,0
719,"Chris Bourque",BOS,LW,-48,2,,,,0,0,-2,0,1,0,1,1,0
720,"Aaron Rome",DAL,D,-49,1,,,,0,0,1,0,1,0,3,0,0
721,"Patrice Cormier",WPG,C,-49,7,,,,0,0,-1,5,3,0,14,2,1
722,"Jim Slater",WPG,C,-49,6,,,,0,0,-1,4,4,0,7,3,30
723,"Chris Kelly",BOS,C,-49,6,,,,1,0,-3,2,6,0,7,3,33
724,"Chris Kreider",NYR,C,-49,4,,,,1,0,0,0,10,0,8,2,0
725,"Stefan Elliott",COL,D,-50,3,,,,0,0,-3,0,4,0,3,3,0
726,"Matt Gilroy",NYR,D,-50,2,,,,0,0,0,2,0,0,1,0,0
727,"Mark Arcobello",EDM,RW,-50,0,,,,0,0,0,0,0,0,0,0,0
728,"Jamie Tardif",BOS,RW,-50,0,,,,0,0,0,0,0,0,0,0,0
729,"Rickard Rakell",ANA,RW,-50,0,,,,0,0,0,0,0,0,0,0,0
730,"Akim Aliu",CGY,RW,-50,0,,,,0,0,0,0,0,0,0,0,0
731,"Devante Smith-Pelly",ANA,RW,-50,0,,,,0,0,0,0,0,0,0,0,0
732,"Benn Ferriero",NYR,RW,-50,0,,,,0,0,0,0,0,0,0,0,0
733,"Brandon Segal",NYR,RW,-50,0,,,,0,0,0,0,0,0,0,0,0
734,"Steve Downie",COL,RW,-50,0,,,,0,0,0,0,0,0,0,0,0
735,"Mikael Samuelsson",DET,RW,-50,0,,,,0,0,0,0,0,0,0,0,0
736,"Todd Bertuzzi",DET,RW,-50,0,,,,0,0,0,0,0,0,0,0,0
737,"Alex Kovalev",FLA,RW,-50,0,,,,0,0,0,0,0,0,0,0,0
738,"Jamie Langenbrunner",STL,RW,-50,0,,,,0,0,0,0,0,0,0,0,0
739,"Yannick Weber",MTL,D,-51,1,,,,0,0,-1,2,0,0,2,0,0
740,"Matt Fraser",DAL,RW,-51,1,,,,0,0,-1,0,1,0,0,0,0
741,"Greg Pateryn",MTL,D,-51,3,,,,0,0,0,0,0,0,2,1,0
742,"Sean Couturier",PHI,C,-51,11,,,,0,0,-7,0,9,0,11,7,45
743,"Eric Belanger",EDM,C,-52,6,,,,0,1,-1,0,6,0,5,2,38
744,"Tomas Tatar",DET,C,-52,5,,,,1,0,1,2,7,0,5,0,0
745,"Davis Drewiske",LAK,D,-53,2,,,,0,0,-1,0,1,0,2,0,0
746,"Andy McDonald",STL,C,-54,5,,,,0,2,-2,2,11,0,1,0,8
747,"Tim Brent",CAR,C,-54,8,,,,0,1,-2,0,5,0,11,0,26
748,"Ryan Murphy",CAR,D,-54,0,,,,0,0,0,0,0,0,0,0,0
749,"Michal Jordan",CAR,D,-54,0,,,,0,0,0,0,0,0,0,0,0
750,"Zach Redmond",WPG,D,-54,0,,,,0,0,0,0,0,0,0,0,0
751,"Nick Petrecki",SJS,D,-54,0,,,,0,0,0,0,0,0,0,0,0
752,"Matthew Irwin",SJS,D,-54,0,,,,0,0,0,0,0,0,0,0,0
753,"Michael Caruso",FLA,D,-54,0,,,,0,0,0,0,0,0,0,0,0
754,"David Savard",CBJ,D,-54,0,,,,0,0,0,0,0,0,0,0,0
755,"Sami Vatanen",ANA,D,-54,0,,,,0,0,0,0,0,0,0,0,0
756,"Mark Borowiecki",OTT,D,-54,0,,,,0,0,0,0,0,0,0,0,0
757,"Robert Bortuzzo",PIT,D,-54,0,,,,0,0,0,0,0,0,0,0,0
758,"Raphael Diaz",MTL,D,-54,0,,,,0,0,0,0,0,0,0,0,0
759,"David Rundblad",PHX,D,-54,0,,,,0,0,0,0,0,0,0,0,0
760,"Brian Strait",NYI,D,-54,0,,,,0,0,0,0,0,0,0,0,0
761,"Marco Scandella",MIN,D,-54,0,,,,0,0,0,0,0,0,0,0,0
762,"Dylan Reese",PIT,D,-54,0,,,,0,0,0,0,0,0,0,0,0
763,"Nick Holden",CBJ,D,-54,0,,,,0,0,0,0,0,0,0,0,0
764,"Erik Karlsson",OTT,D,-54,0,,,,0,0,0,0,0,0,0,0,0
765,"Jordan Hendry",ANA,D,-54,0,,,,0,0,0,0,0,0,0,0,0
766,"Alexander Sulzer",BUF,D,-54,0,,,,0,0,0,0,0,0,0,0,0
767,"Marc-Andre Gragnani",CAR,D,-54,0,,,,0,0,0,0,0,0,0,0,0
768,"Matt Pelech",SJS,D,-54,0,,,,0,0,0,0,0,0,0,0,0
769,"Kent Huskins",DET,D,-54,0,,,,0,0,0,0,0,0,0,0,0
770,"Mike Weaver",FLA,D,-54,0,,,,0,0,0,0,0,0,0,0,0
771,"Mike Komisarek",TOR,D,-54,0,,,,0,0,0,0,0,0,0,0,0
772,"Andreas Lilja",PHI,D,-54,0,,,,0,0,0,0,0,0,0,0,0
773,"Matt Greene",LAK,D,-54,0,,,,0,0,0,0,0,0,0,0,0
774,"Anton Babchuk",CGY,D,-54,0,,,,0,0,0,0,0,0,0,0,0
775,"Carlo Colaiacovo",DET,D,-54,0,,,,0,0,0,0,0,0,0,0,0
776,"James Wisniewski",CBJ,D,-54,1,,,,0,0,-1,0,0,0,2,0,0
777,"Mikhail Grigorenko",BUF,C,-55,5,,,,0,2,2,0,6,0,0,0,10
778,"Cameron Schilling",WSH,D,-55,1,,,,0,0,-1,0,0,0,0,1,0
779,"Ed Jovanovski",FLA,D,-55,1,,,,0,0,-2,0,0,0,0,2,0
780,"Justin Peters",CAR,G,-56,6,2,0.899,3.17,,,,,,,,,
781,"Ian Cole",STL,D,-56,2,,,,0,0,-4,0,1,0,2,2,0
782,"Dana Tyrell",TBL,C,-57,6,,,,0,1,1,0,5,0,5,1,1
783,"Al Montoya",WPG,G,-58,3,1,0.894,2.82,,,,,,,,,
784,"Brandon McMillan",ANA,C,-59,6,,,,0,1,-1,2,2,0,4,1,12
785,"Tim Sestito",NJD,C,-59,3,,,,0,0,1,2,2,0,6,0,7
786,"Nick Drazenovic",CBJ,C,-60,4,,,,0,0,0,2,3,0,5,0,14
787,"Kris Newbury",NYR,C,-60,3,,,,0,1,1,0,2,0,4,0,10
788,"Jeff Frazee",NJD,G,-61,2,0,1,0,,,,,,,,,
789,"Philipp Grubauer",WSH,G,-61,1,0,0.9575,1.785,,,,,,,,,
790,"Darcy Kuemper",MIN,G,-61,1,0,0.923,2.295,,,,,,,,,
791,"Petr Mrazek",DET,G,-61,0,0,0.922,2.01,,,,,,,,,
792,"Jussi Rynnas",TOR,G,-61,0,0,1,0,,,,,,,,,
793,"Thomas Greiss",SJS,G,-61,1,0,0.9095,2.735,,,,,,,,,
794,"Craig Anderson",OTT,G,-61,0,0,0.952,1.49,,,,,,,,,
795,"Chad Johnson",PHX,G,-61,0,0,0.952,0.98,,,,,,,,,
796,"Danny Briere",PHI,C,-62,8,,,,0,1,-10,0,20,0,5,1,13
797,"Tomas Vincour",DAL,C,-62,4,,,,0,1,-1,0,2,0,8,0,0
798,"Steve Mason",CBJ,G,-62,2,0,0.9025,2.865,,,,,,,,,
799,"Stefan Matteau",NJD,C,-63,5,,,,0,1,-3,2,3,0,7,0,0
800,"Ryan Garbutt",DAL,C,-63,5,,,,0,0,-1,0,4,0,7,1,3
801,"Quinton Howden",FLA,C,-64,5,,,,0,0,-1,0,4,0,5,2,0
802,"Joey MacDonald",CGY,G,-64,4,1,0.897,3.015,,,,,,,,,
803,"Greg Rallo",FLA,C,-64,3,,,,0,0,0,0,1,0,7,1,0
804,"Ryan Spooner",BOS,C,-65,3,,,,0,0,0,0,3,0,1,2,11
805,"Harri Pesonen",NJD,C,-65,4,,,,0,0,-1,2,3,0,4,0,0
806,"Chris Brown",PHX,C,-68,1,,,,0,0,0,2,0,0,2,0,0
807,"Mike Hoffman",OTT,C,-68,1,,,,0,0,0,0,2,0,2,1,0
808,"Teemu Hartikainen",EDM,C,-68,3,,,,0,0,-2,2,2,0,2,1,0
809,"Bracken Kearns",SJS,C,-70,1,,,,0,0,0,0,0,0,3,0,0
810,"Mikael Granlund",MIN,C,-70,2,,,,0,0,-3,0,3,0,3,1,9
811,"Trevor Smith",PIT,C,-72,1,,,,0,0,0,0,0,0,0,1,0
812,"Michal Neuvirth",WSH,G,-72,3,1,0.894,3.02,,,,,,,,,
813,"Derek Grant",OTT,C,-73,0,,,,0,0,0,0,0,0,0,0,0
814,"Ben Street",CGY,C,-73,0,,,,0,0,0,0,0,0,0,0,0
815,"Jonathan Audy-marchessault",CBJ,C,-73,0,,,,0,0,0,0,0,0,0,0,0
816,"Jonathan Marchessault",CBJ,C,-73,0,,,,0,0,0,0,0,0,0,0,0
817,"Michael Sgarbossa",COL,C,-73,0,,,,0,0,0,0,0,0,0,0,0
818,"Matt Anderson",NJD,C,-73,0,,,,0,0,0,0,0,0,0,0,0
819,"Brad Malone",COL,C,-73,0,,,,0,0,0,0,0,0,0,0,0
820,"Andy Miele",PHX,C,-73,0,,,,0,0,0,0,0,0,0,0,0
821,"Mark Scheifele",WPG,C,-73,0,,,,0,0,0,0,0,0,0,0,0
822,"Anton Lander",EDM,C,-73,0,,,,0,0,0,0,0,0,0,0,0
823,"Paul Byron",CGY,C,-73,0,,,,0,0,0,0,0,0,0,0,0
824,"Colton Sceviour",DAL,C,-73,0,,,,0,0,0,0,0,0,0,0,0
825,"Stephane Da Costa",OTT,C,-73,0,,,,0,0,0,0,0,0,0,0,0
826,"Scott Timmins",FLA,C,-73,0,,,,0,0,0,0,0,0,0,0,0
827,"Zac Dalpe",CAR,C,-73,0,,,,0,0,0,0,0,0,0,0,0
828,"Jacob Josefson",NJD,C,-73,0,,,,0,0,0,0,0,0,0,0,0
829,"Blair Jones",CGY,C,-73,0,,,,0,0,0,0,0,0,0,0,0
830,"Alexandre Bolduc",PHX,C,-73,0,,,,0,0,0,0,0,0,0,0,0
831,"Darren Helm",DET,C,-73,0,,,,0,0,0,0,0,0,0,0,0
832,"Tom Wandell",DAL,C,-73,0,,,,0,0,0,0,0,0,0,0,0
833,"Andrew Murray",STL,C,-73,0,,,,0,0,0,0,0,0,0,0,0
834,"Brad Richardson",LAK,C,-73,0,,,,0,0,0,0,0,0,0,0,0
835,"Cody McCormick",BUF,C,-73,0,,,,0,0,0,0,0,0,0,0,0
836,"Manny Malhotra",VAN,C,-73,0,,,,0,0,0,0,0,0,0,0,0
837,"Dainius Zubrus",NJD,C,-73,0,,,,0,0,0,0,0,0,0,0,0
838,"Ryan Kesler",VAN,C,-73,0,,,,0,0,0,0,0,0,0,0,0
839,"Jason Spezza",OTT,C,-73,0,,,,0,0,0,0,0,0,0,0,0
840,"Brian Boucher",PHI,G,-73,1,0,0.8945,2.49,,,,,,,,,
841,"Jean-Sebastien Giguere",COL,G,-74,4,0,0.9075,3.005,,,,,,,,,
842,"Chris VandeVelde",EDM,C,-74,2,,,,0,0,-2,0,1,0,1,0,2
843,"Christopher Nilstorp",DAL,G,-87,0,0,0.897,3.09,,,,,,,,,
844,"Miikka Kiprusoff",CGY,G,-89,9,4,0.8745,3.29,,,,,,,,,
845,"Cedrick Desjardins",TBL,G,-96,4,0,0.89,3,,,,,,,,,
846,"Daniel Taylor",CGY,G,-98,1,1,0.902,3.5,,,,,,,,,
847,"Josh Harding",MIN,G,-101,0,0,0.885,2.92,,,,,,,,,
848,"Jose Theodore",FLA,G,-114,1,0,0.8925,3.295,,,,,,,,,
849,"Leland Irving",CGY,G,-139,0,0,0.883,3.33,,,,,,,,,
850,"Chris Mason",NSH,G,-139,4,0,0.8815,3.295,,,,,,,,,
851,"Kevin Poulin",NYI,G,-162,2,0,0.8775,3.455,,,,,,,,,
852,"Jhonas Enroth",BUF,G,-165,3,2,0.876,3.86,,,,,,,,,
853,"Alex Stalock",SJS,G,-187,2,0,0.846,2.87,,,,,,,,,
854,"Scott Clemmensen",FLA,G,-236,6,0,0.8635,3.97,,,,,,,,,
855,"Brian Elliott",STL,G,-238,2,0,0.85,3.61,,,,,,,,,
856,"Rick DiPietro",NYI,G,-266,0,0,0.855,4.1,,,,,,,,,
857,"Richard Bachman",DAL,G,-293,1,0,0.843,4.095,,,,,,,,,
858,"Michael Leighton",PHI,G,-453,0,0,0.808,5.07,,,,,,,,,
859,"Keith Kinkaid",NJD,G,"-1,072",1,0,0.4615,1.165,,,,,,,,,
860,"Jack Campbell",DAL,G,"-2,137",1,0,0,0,,,,,,,,,
861,"Calvin Pickard",COL,G,"-2,137",0,0,0,0,,,,,,,,,
862,"Robert Mayer",MTL,G,"-2,137",0,0,0,0,,,,,,,,,
863,"Edward Pasquale",WPG,G,"-2,137",0,0,0,0,,,,,,,,,
864,"Tom McCollum",DET,G,"-2,137",0,0,0,0,,,,,,,,,
865,"Frederik Andersen",ANA,G,"-2,137",0,0,0,0,,,,,,,,,
866,"Matt Hackett",MIN,G,"-2,137",1,0,0,0,,,,,,,,,
867,"Henrik Karlsson",CHI,G,"-2,137",0,0,0,0,,,,,,,,,
868,"Jeff Deslauriers",ANA,G,"-2,137",0,0,0,0,,,,,,,,,
869,"Jeff Zatkoff",PIT,G,"-2,137",1,0,0,0,,,,,,,,,
870,"John Muse",CAR,G,"-2,137",1,0,0,0,,,,,,,,,
