Rank,Player,Team,Position,"Pool Geek Value","Games Played",W,SV%,GAA,G,A,+/-,PIM,SOG,PPP,HITS,BKS,FOW
107,"Mike Ribeiro",WSH,C,67,14,,,,5,8,0,13,17,4,15,7,33
108,"Tyler Bozak",TOR,C,67,13,,,,5,6,1,2,27,1,25,11,136
109,"Carl Gunnarsson",TOR,D,67,13,,,,0,7,4,8,13,0,29,30,0
110,"Max Pacioretty",MTL,LW,67,13,,,,3,7,-3,4,56,1,14,4,1
111,"Vladimir Sobotka",STL,C,67,13,,,,6,2,2,10,25,2,31,2,115
112,"Jannik Hansen",VAN,RW,67,15,,,,5,7,9,2,35,0,12,4,0
113,"Taylor Hall",EDM,LW,66,12,,,,4,9,0,4,30,3,3,6,6
114,"Kimmo Timonen",PHI,D,66,11,,,,1,5,-2,10,28,5,6,20,0
115,"Matt Moulson",NYI,LW,66,13,,,,1,11,-1,0,33,4,11,6,0
116,"B.J. Crombeen",TBL,RW,66,11,,,,1,3,4,39,12,0,13,5,1
117,"Jack Johnson",CBJ,D,65,12,,,,3,4,0,0,28,3,12,30,0
118,"Brent Seabrook",CHI,D,65,11,,,,3,4,4,9,16,1,29,18,0
119,"Shawn Matthias",FLA,C,65,15,,,,9,2,3,4,41,1,20,4,63
120,"Evgeni Nabokov",NYI,G,65,12,8,0.901,2.92,,,,,,,,,
121,"Kyle Okposo",NYI,RW,64,13,,,,1,5,1,18,25,1,19,6,42
122,"Claude Giroux",PHI,C,64,11,,,,3,6,-7,0,40,6,11,5,157
123,"David Perron",STL,LW,64,13,,,,3,6,2,14,24,1,18,4,5
124,"Milan Lucic",BOS,LW,64,15,,,,1,6,-4,11,25,2,37,5,4
125,"Tyson Strachan",FLA,D,63,15,,,,0,2,-3,19,15,0,46,24,0
126,"Dougie Hamilton",BOS,D,62,15,,,,3,2,4,10,23,2,26,12,0
127,"Kyle Turris",OTT,C,61,13,,,,4,6,1,2,32,4,7,6,131
128,"Niklas Kronwall",DET,D,61,13,,,,3,4,-1,12,20,3,7,22,0
129,"Mika Zibanejad",OTT,C,61,13,,,,3,6,5,4,31,2,30,3,69
130,"Dennis Wideman",CGY,D,61,13,,,,0,6,2,2,18,4,13,28,0
131,"Jakob Silfverberg",OTT,RW,61,13,,,,5,3,4,4,38,2,13,4,0
132,"Marcus Foligno",BUF,LW,61,13,,,,4,3,1,14,15,2,25,5,2
133,"Shawn Thornton",BOS,LW,60,14,,,,2,1,1,21,29,0,30,4,3
134,"Carl Hagelin",NYR,LW,60,14,,,,1,6,6,4,43,0,14,9,2
135,"Brandon Saad",CHI,LW,58,11,,,,1,10,6,0,26,3,9,3,4
136,"Colin McDonald",NYI,RW,58,12,,,,3,4,0,9,29,0,38,3,3
137,"RJ Umberger",CBJ,LW,58,13,,,,3,4,3,6,26,2,6,16,6
138,"Matt Irwin",SJS,D,58,14,,,,4,3,-3,2,36,3,9,21,0
139,"Matt Cullen",MIN,C,57,12,,,,3,9,7,6,29,1,6,6,85
140,"Joffrey Lupul",TOR,LW,57,5,,,,7,2,5,8,18,2,13,2,0
141,"Alexei Emelin",MTL,D,56,13,,,,1,5,-2,18,10,0,32,19,0
142,"Derek Morris",PHX,D,56,14,,,,0,3,-7,14,22,1,36,25,0
143,"Nik Antropov",WPG,C,55,15,,,,3,5,-1,6,28,2,35,9,49
144,"Keith Yandle",PHX,D,55,14,,,,3,5,-3,4,45,4,1,9,0
145,"Andrew MacDonald",NYI,D,55,13,,,,1,3,1,8,20,1,7,39,0
146,"Sam Gagner",EDM,C,55,13,,,,7,5,2,0,28,2,14,6,93
147,"Martin Erat",NSH,RW,55,13,,,,1,9,0,2,22,3,17,7,14
148,"Daniel Sedin",VAN,LW,55,15,,,,3,6,4,4,44,1,6,1,0
149,"Mason Raymond",VAN,LW,55,15,,,,4,5,8,4,33,0,9,3,12
150,"Jarome Iginla",CGY,RW,54,12,,,,4,3,-4,7,30,2,28,2,25
151,"Jakub Kindl",DET,D,54,13,,,,2,4,8,8,25,1,17,10,0
152,"Antti Niemi",SJS,G,54,13,7,0.9285,2.01,,,,,,,,,
153,"Cory Schneider",VAN,G,54,10,7,0.917,2.425,,,,,,,,,
154,"Ondrej Pavelec",WPG,G,54,13,7,0.903,2.805,,,,,,,,,
155,"Mark Streit",NYI,D,54,13,,,,1,5,-1,8,27,1,7,30,0
156,"Nikolai Kulemin",TOR,LW,54,13,,,,4,3,-1,4,17,0,35,16,4
157,"Eric Gryba",OTT,D,54,13,,,,1,1,0,12,22,0,42,18,0
158,"David Clarkson",NJD,RW,54,13,,,,2,1,-3,21,45,0,22,1,2
159,"Vinny Prospal",CBJ,LW,53,13,,,,2,5,-1,12,26,3,8,6,0
160,"Lee Stempniak",CGY,RW,53,13,,,,2,8,3,4,25,2,13,5,1
161,"Jaromir Jagr",DAL,RW,53,11,,,,8,3,1,2,27,4,2,0,0
162,"Bryan Bickell",CHI,LW,53,11,,,,3,4,1,14,20,0,28,3,1
163,"Brent Burns",SJS,D,53,9,,,,5,5,3,6,26,2,13,2,2
164,"Brian Gionta",MTL,RW,53,13,,,,6,4,4,2,29,1,7,8,5
165,"Marcel Goc",FLA,C,52,15,,,,2,4,-6,6,37,1,34,6,145
166,"Jason Garrison",VAN,D,52,15,,,,2,2,6,6,30,2,12,15,0
167,"Sheldon Souray",ANA,D,51,14,,,,2,1,8,15,30,0,8,15,0
168,"Martin Hanzal",PHX,C,51,13,,,,2,4,-4,14,35,1,29,3,100
169,"Ryan McDonagh",NYR,D,51,14,,,,0,4,2,2,25,0,26,30,0
170,"David Moss",PHX,RW,51,12,,,,2,7,3,9,21,0,17,9,1
171,"Brendan Gallagher",MTL,RW,51,13,,,,4,6,-1,4,39,1,1,10,4
172,"Dan Girardi",NYR,D,50,14,,,,0,3,-1,8,18,0,29,32,0
173,"Gabriel Landeskog",COL,LW,50,13,,,,5,2,-9,6,42,1,16,13,0
174,"Matt Calvert",CBJ,LW,50,13,,,,2,3,-1,20,19,0,22,8,0
175,"Jeff Petry",EDM,D,50,13,,,,1,2,1,7,19,0,34,25,0
176,"Jordan Staal",CAR,C,50,13,,,,4,2,-6,6,32,1,43,4,116
177,"Adam Henrique",NJD,C,49,13,,,,6,1,1,6,30,2,9,8,127
178,"Cody McLeod",COL,LW,49,14,,,,0,1,1,33,11,0,26,3,2
179,"Henrik Zetterberg",DET,C,48,13,,,,2,5,-4,6,51,4,5,3,78
180,"Victor Hedman",TBL,D,48,13,,,,0,5,-1,12,20,0,20,24,0
181,"Jason Pominville",BUF,RW,48,13,,,,3,5,-1,2,31,3,7,9,6
182,"Ladislav Smid",EDM,D,47,13,,,,0,0,1,8,11,0,35,36,0
183,"Loui Eriksson",DAL,RW,47,11,,,,3,7,3,0,27,3,1,7,0
184,"Mark Stuart",WPG,D,46,11,,,,1,1,3,18,7,0,30,19,0
185,"Marian Gaborik",NYR,RW,46,14,,,,2,5,-6,4,39,5,4,4,0
186,"Mike Richards",LAK,C,46,15,,,,4,4,-4,8,26,3,23,7,56
187,"David Legwand",NSH,C,46,13,,,,5,5,-3,8,21,3,8,6,108
188,"Patrick Marleau",SJS,LW,45,14,,,,4,2,-4,6,41,1,9,5,43
189,"Braden Holtby",WSH,G,45,11,7,0.9075,2.96,,,,,,,,,
190,"Matt Cooke",PIT,LW,45,14,,,,2,4,0,6,17,0,32,12,0
191,"Adam McQuaid",BOS,D,45,10,,,,0,2,2,28,6,0,23,13,0
192,"Beau Bennett",PIT,RW,45,12,,,,1,6,6,4,14,3,14,6,0
193,"Marek Zidlicky",NJD,D,44,13,,,,3,3,-3,8,27,1,12,20,0
194,"Andrew Ference",BOS,D,44,15,,,,2,1,-4,16,19,0,30,18,0
195,"Grant Clitsome",WPG,D,44,15,,,,0,4,-4,10,15,0,33,25,0
196,"Joe Pavelski",SJS,C,44,14,,,,4,2,-3,0,39,1,16,18,106
197,"Magnus Paajarvi",EDM,LW,44,13,,,,5,3,1,2,34,1,7,7,2
198,"Filip Kuba",FLA,D,44,15,,,,1,3,-3,10,18,2,15,24,0
199,"Luca Sbisa",ANA,D,43,14,,,,1,3,-2,11,9,1,32,20,0
200,"Marc Methot",OTT,D,43,12,,,,1,3,-1,5,14,0,38,23,0
201,"Jeff Carter",LAK,C,43,15,,,,7,2,-1,0,36,3,6,8,70
202,"Roman Polak",STL,D,42,13,,,,0,2,1,15,11,0,31,20,0
203,"Brenden Dillon",DAL,D,42,11,,,,0,0,-4,20,17,0,40,16,0
204,"Jordan Eberle",EDM,RW,42,13,,,,4,5,-2,2,28,2,13,5,3
205,"Alex Goligoski",DAL,D,42,11,,,,1,6,1,6,14,3,14,12,0
